Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Monaco ,WESTERN EUROPE                     ,"32,543",2,"16,271.50",205.00,7.75,5.43,"27,000",99.00,"1,035.60",0.00,0.00,100.00,,9.19,12.91,0.17,,
Mongolia ,ASIA (EX. NEAR EAST)         ,"2,832,224","1,564,116",1.80,0.00,0.00,53.79,"1,800",97.80,55.10,0.77,0.00,99.23,1.00,21.59,6.95,206.00,214.00,0.58
Montserrat ,LATIN AMER. & CARIB    ,"9,439",102,92.50,39.22,0.00,7.35,"3,400",97.00,,20.00,0.00,80.00,2.00,17.59,7.10,,,
Morocco ,NORTHERN AFRICA                    ,"33,241,259","446,550",74.40,0.41,-0.98,41.62,"4,000",51.70,40.40,19.61,2.17,78.22,,21.98,5.58,217.00,357.00,426.00
Mozambique ,SUB-SAHARAN AFRICA                 ,"19,686,505","801,590",24.60,0.31,0.00,130.79,"1,200",47.80,3.50,5.10,0.30,94.60,2.00,35.18,21.35,262.00,348.00,0.39
Namibia ,SUB-SAHARAN AFRICA                 ,"2,044,147","825,418",2.50,0.19,0.00,48.98,"7,200",84.00,62.60,0.99,0.00,99.01,1.00,24.32,18.86,97.00,315.00,588.00
Nauru ,OCEANIA                            ,"13,287",21,632.70,142.86,0.00,9.95,"5,000",,143.00,0.00,0.00,100.00,2.00,24.76,6.70,,,
Nepal ,ASIA (EX. NEAR EAST)         ,"28,287,147","147,181",192.20,0.00,0.00,66.98,"1,400",45.20,15.90,21.68,0.64,77.68,,30.98,9.31,0.38,0.21,0.41
Netherlands ,WESTERN EUROPE                     ,"16,491,461","41,526",397.10,1.09,2.91,5.04,"28,600",99.00,460.80,26.71,0.97,72.32,3.00,10.90,8.68,21.00,244.00,736.00
Netherlands Antilles ,LATIN AMER. & CARIB    ,"221,736",960,231.00,37.92,-0.41,10.03,"11,400",96.70,365.30,10.00,0.00,90.00,2.00,14.78,6.45,0.01,0.15,0.84
New Caledonia ,OCEANIA                            ,"219,246","19,060",11.50,11.83,0.00,7.72,"15,000",91.00,252.20,0.38,0.33,99.29,2.00,18.11,5.69,0.15,88.00,762.00
New Zealand ,OCEANIA                            ,"4,076,140","268,680",15.20,5.63,4.05,5.85,"21,600",99.00,441.70,5.60,6.99,87.41,3.00,13.76,7.53,43.00,273.00,684.00
Nicaragua ,LATIN AMER. & CARIB    ,"5,570,129","129,494",43.00,0.70,-1.22,29.11,"2,300",67.50,39.70,15.94,1.94,82.12,2.00,24.51,4.45,165.00,275.00,0.56
Niger ,SUB-SAHARAN AFRICA                 ,"12,525,094","1,267,000",9.90,0.00,-0.67,121.69,800,17.60,1.90,3.54,0.01,96.45,1.00,50.73,20.91,0.39,0.17,0.44
Nigeria ,SUB-SAHARAN AFRICA                 ,"131,859,731","923,768",142.70,0.09,0.26,98.80,900,68.00,9.30,31.29,2.96,65.75,1.50,40.43,16.94,269.00,487.00,244.00
N. Mariana Islands ,OCEANIA                            ,"82,459",477,172.90,310.69,9.61,7.11,"12,500",97.00,254.70,13.04,4.35,82.61,2.00,19.43,2.29,,,
Norway ,WESTERN EUROPE                     ,"4,610,820","323,802",14.20,7.77,1.74,3.70,"37,800",100.00,461.70,2.87,0.00,97.13,3.00,11.46,9.40,21.00,415.00,564.00
Oman ,NEAR EAST                          ,"3,102,229","212,460",14.60,0.98,0.28,19.51,"13,100",75.80,85.50,0.00,0.14,99.74,1.00,36.24,3.81,27.00,0.39,583.00
Pakistan ,ASIA (EX. NEAR EAST)         ,"165,803,560","803,940",206.20,0.13,-2.77,72.44,"2,100",45.70,31.80,27.87,0.87,71.26,1.00,29.74,8.23,216.00,251.00,533.00
Palau ,OCEANIA                            ,"20,579",458,44.90,331.66,2.85,14.84,"9,000",92.00,325.60,8.70,4.35,86.95,2.00,18.03,6.80,62.00,0.12,818.00
Panama ,LATIN AMER. & CARIB    ,"3,191,319","78,200",40.80,3.18,-0.91,20.47,"6,300",92.60,137.90,7.36,1.98,90.66,2.00,21.74,5.36,68.00,156.00,776.00
Papua New Guinea ,OCEANIA                            ,"5,670,544","462,840",12.30,1.11,0.00,51.45,"2,200",64.60,10.90,0.46,1.44,98.10,2.00,29.36,7.25,353.00,381.00,266.00
Paraguay ,LATIN AMER. & CARIB    ,"6,506,464","406,750",16.00,0.00,-0.08,25.63,"4,700",94.00,49.20,7.60,0.23,92.17,2.00,29.10,4.49,224.00,207.00,569.00
Peru ,LATIN AMER. & CARIB    ,"28,302,603","1,285,220",22.00,0.19,-1.05,31.94,"5,100",90.90,79.50,2.89,0.40,96.71,1.50,20.48,6.23,0.08,0.27,0.65
Philippines ,ASIA (EX. NEAR EAST)         ,"89,468,677","300,000",298.20,12.10,-1.50,23.51,"4,600",92.60,38.40,18.95,16.77,64.28,2.00,24.89,5.41,144.00,326.00,0.53
Poland ,EASTERN EUROPE                     ,"38,536,869","312,685",123.30,0.16,-0.49,8.51,"11,100",99.80,306.30,45.91,1.12,52.97,3.00,9.85,9.89,0.05,311.00,0.64
Portugal ,WESTERN EUROPE                     ,"10,605,870","92,391",114.80,1.94,3.57,5.05,"18,000",93.30,399.20,21.75,7.81,70.44,3.00,10.72,10.50,53.00,274.00,673.00
Puerto Rico ,LATIN AMER. & CARIB    ,"3,927,188","13,790",284.80,3.63,-1.46,8.24,"16,800",94.10,283.10,3.95,5.52,90.53,2.00,12.77,7.65,0.01,0.45,0.54
Qatar ,NEAR EAST                          ,"885,359","11,437",77.40,4.92,16.29,18.61,"21,500",82.50,232.00,1.64,0.27,98.09,1.00,15.56,4.72,2.00,801.00,197.00
Reunion ,SUB-SAHARAN AFRICA                 ,"787,584","2,517",312.90,8.22,0.00,7.78,"5,800",88.90,380.90,13.60,1.20,85.20,2.00,18.90,5.49,0.08,0.19,0.73
Romania ,EASTERN EUROPE                     ,"22,303,552","237,500",93.90,0.09,-0.13,26.43,"7,000",98.40,196.90,40.82,2.25,56.93,3.00,10.70,11.77,101.00,0.35,549.00
Russia ,C.W. OF IND. STATES ,"142,893,540","17,075,200",8.40,0.22,1.02,15.39,"8,900",99.60,280.60,7.33,0.11,92.56,,9.95,14.65,54.00,371.00,575.00
Rwanda ,SUB-SAHARAN AFRICA                 ,"8,648,248","26,338",328.40,0.00,0.00,91.23,"1,300",70.40,2.70,40.54,12.16,47.30,3.00,40.37,16.09,401.00,229.00,0.37
Saint Helena ,SUB-SAHARAN AFRICA                 ,"7,502",413,18.20,14.53,0.00,19.00,"2,500",97.00,293.30,12.90,0.00,87.10,,12.13,6.53,,,
Saint Kitts & Nevis ,LATIN AMER. & CARIB    ,"39,129",261,149.90,51.72,-7.11,14.49,"8,800",97.00,638.90,19.44,2.78,77.78,2.00,18.02,8.33,35.00,258.00,707.00
Saint Lucia ,LATIN AMER. & CARIB    ,"168,458",616,273.50,25.65,-2.67,13.53,"5,400",67.00,303.30,6.56,22.95,70.49,2.00,19.68,5.08,0.07,0.20,0.73
St Pierre & Miquelon ,NORTHERN AMERICA                   ,"7,026",242,29.00,49.59,-4.86,7.54,"6,900",99.00,683.20,13.04,0.00,86.96,,13.52,6.83,,,
Saint Vincent and the Grenadines ,LATIN AMER. & CARIB    ,"117,848",389,303.00,21.59,-7.64,14.78,"2,900",96.00,190.90,17.95,17.95,64.10,2.00,16.18,5.98,0.10,0.26,0.64
Samoa ,OCEANIA                            ,"176,908","2,944",60.10,13.69,-11.70,27.71,"5,600",99.70,75.20,21.20,24.38,54.42,2.00,16.43,6.62,114.00,584.00,302.00
San Marino ,WESTERN EUROPE                     ,"29,251",61,479.50,0.00,10.98,5.73,"34,600",96.00,704.30,16.67,0.00,83.33,,10.02,8.17,,,
Sao Tome & Principe ,SUB-SAHARAN AFRICA                 ,"193,413","1,001",193.20,20.88,-2.72,43.11,"1,200",79.30,36.20,6.25,48.96,44.79,2.00,40.25,6.47,167.00,148.00,684.00
Saudi Arabia ,NEAR EAST                          ,"27,019,731","1,960,582",13.80,0.13,-2.71,13.24,"11,800",78.80,140.60,1.67,0.09,98.24,1.00,29.34,2.58,33.00,613.00,354.00
Senegal ,SUB-SAHARAN AFRICA                 ,"11,987,121","196,190",61.10,0.27,0.20,55.51,"1,600",40.20,22.20,12.78,0.21,87.01,2.00,32.78,9.42,172.00,209.00,619.00
Serbia ,EASTERN EUROPE                     ,"9,396,411","88,361",106.30,0.00,-1.33,12.89,"2,200",93.00,285.80,33.35,3.20,63.45,,,,166.00,255.00,579.00
Seychelles ,SUB-SAHARAN AFRICA                 ,"81,541",455,179.20,107.91,-5.69,15.53,"7,800",58.00,262.40,2.22,13.33,84.45,2.00,16.03,6.29,32.00,304.00,665.00
Sierra Leone ,SUB-SAHARAN AFRICA                 ,"6,005,250","71,740",83.70,0.56,0.00,143.64,500,31.40,4.00,6.98,0.89,92.13,2.00,45.76,23.03,0.49,0.31,0.21
Singapore ,ASIA (EX. NEAR EAST)         ,"4,492,150",693,"6,482.20",27.85,11.53,2.29,"23,700",92.50,411.40,1.64,0.00,98.36,2.00,9.34,4.28,0.00,339.00,661.00
Slovakia ,EASTERN EUROPE                     ,"5,439,448","48,845",111.40,0.00,0.30,7.41,"13,300",,220.10,30.16,2.62,67.22,3.00,10.65,9.45,35.00,294.00,672.00
Slovenia ,EASTERN EUROPE                     ,"2,010,347","20,273",99.20,0.23,1.12,4.45,"19,000",99.70,406.10,8.60,1.49,89.91,,8.98,10.31,28.00,369.00,603.00
Solomon Islands ,OCEANIA                            ,"552,438","28,450",19.40,18.67,0.00,21.29,"1,700",,13.40,0.64,2.00,97.36,2.00,30.01,3.92,0.42,0.11,0.47
Somalia ,SUB-SAHARAN AFRICA                 ,"8,863,338","637,657",13.90,0.47,5.37,116.70,500,37.80,11.30,1.67,0.04,98.29,1.00,45.13,16.63,0.65,0.10,0.25
South Africa ,SUB-SAHARAN AFRICA                 ,"44,187,637","1,219,912",36.20,0.23,-0.29,61.81,"10,700",86.40,107.00,12.08,0.79,87.13,1.00,18.20,22.00,25.00,303.00,671.00
Spain ,WESTERN EUROPE                     ,"40,397,842","504,782",80.00,0.98,0.99,4.42,"22,000",97.90,453.50,26.07,9.87,64.06,3.00,10.06,9.72,0.04,295.00,665.00
Sri Lanka ,ASIA (EX. NEAR EAST)         ,"20,222,240","65,610",308.20,2.04,-1.31,14.35,"3,700",92.30,61.50,13.86,15.70,70.44,2.00,15.51,6.52,178.00,276.00,545.00
Sudan ,SUB-SAHARAN AFRICA                 ,"41,236,378","2,505,810",16.50,0.03,-0.02,62.50,"1,900",61.10,16.30,6.83,0.18,92.99,2.00,34.53,8.97,387.00,203.00,0.41
Suriname ,LATIN AMER. & CARIB    ,"439,117","163,270",2.70,0.24,-8.81,23.57,"4,000",93.00,184.70,0.37,0.06,99.57,2.00,18.02,7.27,0.13,0.22,0.65
Swaziland ,SUB-SAHARAN AFRICA                 ,"1,136,334","17,363",65.50,0.00,0.00,69.27,"4,900",81.60,30.80,10.35,0.70,88.95,2.50,27.41,29.74,119.00,515.00,366.00
Sweden ,WESTERN EUROPE                     ,"9,016,596","449,964",20.00,0.72,1.67,2.77,"26,800",99.00,715.00,6.54,0.01,93.45,3.00,10.27,10.31,11.00,282.00,707.00
Switzerland ,WESTERN EUROPE                     ,"7,523,934","41,290",182.20,0.00,4.05,4.39,"32,700",99.00,680.90,10.42,0.61,88.97,3.00,9.71,8.49,15.00,0.34,645.00
Syria ,NEAR EAST                          ,"18,881,361","185,180",102.00,0.10,0.00,29.53,"3,300",76.90,153.80,25.22,4.43,70.35,1.00,27.76,4.81,249.00,0.23,519.00
Taiwan ,ASIA (EX. NEAR EAST)         ,"23,036,087","35,980",640.30,4.35,0.00,6.40,"23,400",96.10,591.00,24.00,1.00,75.00,2.00,12.56,6.48,18.00,259.00,723.00
Tajikistan ,C.W. OF IND. STATES ,"7,320,815","143,100",51.20,0.00,-2.86,110.76,"1,000",99.40,33.50,6.61,0.92,92.47,2.00,32.65,8.25,234.00,286.00,0.48
Tanzania ,SUB-SAHARAN AFRICA                 ,"37,445,392","945,087",39.60,0.15,-2.06,98.54,600,78.20,4.00,4.52,1.08,94.40,,37.71,16.39,432.00,172.00,396.00
Thailand ,ASIA (EX. NEAR EAST)         ,"64,631,595","514,000",125.70,0.63,0.00,20.48,"7,400",92.60,108.90,29.36,6.46,64.18,2.00,13.87,7.04,99.00,441.00,0.46
Togo ,SUB-SAHARAN AFRICA                 ,"5,548,702","56,785",97.70,0.10,0.00,66.61,"1,500",60.90,10.60,46.15,2.21,51.64,2.00,37.01,9.83,395.00,204.00,401.00
Tonga ,OCEANIA                            ,"114,689",748,153.30,56.02,0.00,12.62,"2,200",98.50,97.70,23.61,43.06,33.33,2.00,25.37,5.28,0.23,0.27,0.50
Trinidad & Tobago ,LATIN AMER. & CARIB    ,"1,065,842","5,128",207.90,7.06,-10.83,24.31,"9,500",98.60,303.50,14.62,9.16,76.22,2.00,12.90,10.57,7.00,0.57,423.00
Tunisia ,NORTHERN AFRICA                    ,"10,175,014","163,610",62.20,0.70,-0.57,24.77,"6,900",74.20,123.60,17.86,13.74,68.40,3.00,15.52,5.13,132.00,318.00,0.55
Turkey ,NEAR EAST                          ,"70,413,958","780,580",90.20,0.92,0.00,41.04,"6,700",86.50,269.50,30.93,3.31,65.76,3.00,16.62,5.97,117.00,298.00,585.00
Turkmenistan ,C.W. OF IND. STATES ,"5,042,920","488,100",10.30,0.00,-0.86,73.08,"5,800",98.00,74.60,3.72,0.14,96.14,1.00,27.61,8.60,209.00,0.38,411.00
Turks & Caicos Is ,LATIN AMER. & CARIB    ,"21,152",430,49.20,90.47,11.68,15.67,"9,600",98.00,269.50,2.33,0.00,97.67,2.00,21.84,4.21,,,
Tuvalu ,OCEANIA                            ,"11,810",26,454.20,92.31,0.00,20.03,"1,100",,59.30,0.00,0.00,100.00,2.00,22.18,7.11,166.00,272.00,562.00
Uganda ,SUB-SAHARAN AFRICA                 ,"28,195,754","236,040",119.50,0.00,0.00,67.83,"1,400",69.90,3.60,25.88,10.65,63.47,2.00,47.35,12.24,311.00,222.00,469.00
Ukraine ,C.W. OF IND. STATES ,"46,710,816","603,700",77.40,0.46,-0.39,20.34,"5,400",99.70,259.90,56.21,1.61,42.18,3.00,8.82,14.39,187.00,452.00,361.00
United Arab Emirates ,NEAR EAST                          ,"2,602,713","82,880",31.40,1.59,1.03,14.51,"23,200",77.90,475.30,0.60,2.25,97.15,1.00,18.96,4.40,0.04,585.00,375.00
United Kingdom ,WESTERN EUROPE                     ,"60,609,153","244,820",247.60,5.08,2.19,5.16,"27,700",99.00,543.50,23.46,0.21,76.33,3.00,10.71,10.13,5.00,237.00,758.00
United States ,NORTHERN AMERICA                   ,"298,444,215","9,631,420",31.00,0.21,3.41,6.50,"37,800",97.00,898.00,19.13,0.22,80.65,3.00,14.14,8.26,0.01,204.00,787.00
Uruguay ,LATIN AMER. & CARIB    ,"3,431,932","176,220",19.50,0.37,-0.32,11.95,"12,800",98.00,291.40,7.43,0.23,92.34,3.00,13.91,9.05,93.00,311.00,596.00
Uzbekistan ,C.W. OF IND. STATES ,"27,307,134","447,400",61.00,0.00,-1.72,71.10,"1,700",99.30,62.90,10.83,0.83,88.34,1.00,26.36,7.84,342.00,229.00,0.43
Vanuatu ,OCEANIA                            ,"208,869","12,200",17.10,20.72,0.00,55.16,"2,900",53.00,32.60,2.46,7.38,90.16,2.00,22.72,7.82,0.26,0.12,0.62
Venezuela ,LATIN AMER. & CARIB    ,"25,730,435","912,050",28.20,0.31,-0.04,22.20,"4,800",93.40,140.10,2.95,0.92,96.13,2.00,18.71,4.92,0.04,419.00,541.00
Vietnam ,ASIA (EX. NEAR EAST)         ,"84,402,966","329,560",256.10,1.05,-0.45,25.95,"2,500",90.30,187.70,19.97,5.95,74.08,2.00,16.86,6.22,209.00,0.41,381.00
Virgin Islands ,LATIN AMER. & CARIB    ,"108,605","1,910",56.90,9.84,-8.94,8.03,"17,200",,652.80,11.76,2.94,85.30,2.00,13.96,6.43,0.01,0.19,0.80
Wallis and Futuna ,OCEANIA                            ,"16,025",274,58.50,47.08,,,"3,700",50.00,118.60,5.00,25.00,70.00,2.00,,,,,
West Bank ,NEAR EAST                          ,"2,460,492","5,860",419.90,0.00,2.98,19.62,800,,145.20,16.90,18.97,64.13,3.00,31.67,3.92,0.09,0.28,0.63
Western Sahara ,NORTHERN AFRICA                    ,"273,008","266,000",1.00,0.42,,,,,,0.02,0.00,99.98,1.00,,,,,0.40
Yemen ,NEAR EAST                          ,"21,456,188","527,970",40.60,0.36,0.00,61.50,800,50.20,37.20,2.78,0.24,96.98,1.00,42.89,8.30,135.00,472.00,393.00
Zambia ,SUB-SAHARAN AFRICA                 ,"11,502,010","752,614",15.30,0.00,0.00,88.29,800,80.60,8.20,7.08,0.03,92.90,2.00,41.00,19.93,0.22,0.29,489.00
Zimbabwe ,SUB-SAHARAN AFRICA                 ,"12,236,805","390,580",31.30,0.00,0.00,67.69,"1,900",90.70,26.80,8.32,0.34,91.34,2.00,28.01,21.84,179.00,243.00,579.00
