Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Burkina Faso ,SUB-SAHARAN AFRICA                 ,"13,902,972","274,200",50.70,0.00,0.00,97.57,"1,100",26.60,7.00,14.43,0.19,85.38,2.00,45.62,15.60,322.00,196.00,482.00
Burma ,ASIA (EX. NEAR EAST)         ,"47,382,633","678,500",69.80,0.28,-1.80,67.24,"1,800",85.30,10.10,15.19,0.97,83.84,2.00,17.91,9.83,564.00,82.00,353.00
Burundi ,SUB-SAHARAN AFRICA                 ,"8,090,068","27,830",290.70,0.00,-0.06,69.29,600,51.60,3.40,35.05,14.02,50.93,2.00,42.22,13.46,463.00,203.00,334.00
Cambodia ,ASIA (EX. NEAR EAST)         ,"13,881,427","181,040",76.70,0.24,0.00,71.48,"1,900",69.40,2.60,20.96,0.61,78.43,2.00,26.90,9.06,0.35,0.30,0.35
Cameroon ,SUB-SAHARAN AFRICA                 ,"17,340,702","475,440",36.50,0.08,0.00,68.26,"1,800",79.00,5.70,12.81,2.58,84.61,1.50,33.89,13.47,448.00,0.17,382.00
Canada ,NORTHERN AMERICA                   ,"33,098,932","9,984,670",3.30,2.02,5.96,4.75,"29,800",97.00,552.20,4.96,0.02,95.02,,10.78,7.80,22.00,294.00,684.00
Cape Verde ,SUB-SAHARAN AFRICA                 ,"420,979","4,033",104.40,23.93,-12.07,47.77,"1,400",76.60,169.60,9.68,0.50,89.82,3.00,24.87,6.55,121.00,219.00,0.66
Cayman Islands ,LATIN AMER. & CARIB    ,"45,436",262,173.40,61.07,18.75,8.19,"35,000",98.00,836.30,3.85,0.00,96.15,2.00,12.74,4.89,14.00,32.00,954.00
Central African Rep. ,SUB-SAHARAN AFRICA                 ,"4,303,356","622,984",6.90,0.00,0.00,91.00,"1,100",51.00,2.30,3.10,0.14,96.76,2.00,33.91,18.65,0.55,0.20,0.25
Chad ,SUB-SAHARAN AFRICA                 ,"9,944,201","1,284,000",7.70,0.00,-0.11,93.82,"1,200",47.50,1.30,2.86,0.02,97.12,2.00,45.73,16.38,335.00,259.00,406.00
Chile ,LATIN AMER. & CARIB    ,"16,134,219","756,950",21.30,0.85,0.00,8.80,"9,900",96.20,213.00,2.65,0.42,96.93,3.00,15.23,5.81,0.06,493.00,447.00
China ,ASIA (EX. NEAR EAST)         ,"1,313,973,713","9,596,960",136.90,0.15,-0.40,24.18,"5,000",90.90,266.70,15.40,1.25,83.35,1.50,13.25,6.97,125.00,473.00,403.00
Colombia ,LATIN AMER. & CARIB    ,"43,593,035","1,138,910",38.30,0.28,-0.31,20.97,"6,300",92.50,176.20,2.42,1.67,95.91,2.00,20.48,5.58,125.00,342.00,533.00
Comoros ,SUB-SAHARAN AFRICA                 ,"690,948","2,170",318.40,15.67,0.00,74.93,700,56.50,24.50,35.87,23.32,40.81,2.00,36.93,8.20,0.40,0.04,0.56
"Congo, Dem. Rep. ",SUB-SAHARAN AFRICA                 ,"62,660,551","2,345,410",26.70,0.00,0.00,94.69,700,65.50,0.20,2.96,0.52,96.52,2.00,43.69,13.27,0.55,0.11,0.34
"Congo, Repub. of the ",SUB-SAHARAN AFRICA                 ,"3,702,314","342,000",10.80,0.05,-0.17,93.86,700,83.80,3.70,0.51,0.13,99.36,2.00,42.57,12.93,62.00,0.57,369.00
Cook Islands ,OCEANIA                            ,"21,388",240,89.10,50.00,,,"5,000",95.00,289.90,17.39,13.04,69.57,2.00,21.00,,151.00,96.00,753.00
Costa Rica ,LATIN AMER. & CARIB    ,"4,075,261","51,100",79.80,2.52,0.51,9.95,"9,100",96.00,340.70,4.41,5.88,89.71,2.00,18.32,4.36,88.00,299.00,614.00
Cote d'Ivoire ,SUB-SAHARAN AFRICA                 ,"17,654,843","322,460",54.80,0.16,-0.07,90.83,"1,400",50.90,14.60,9.75,13.84,76.41,2.00,35.11,14.84,279.00,171.00,0.55
Croatia ,EASTERN EUROPE                     ,"4,494,749","56,542",79.50,10.32,1.58,6.84,"10,600",98.50,420.40,26.09,2.27,71.65,,9.61,11.48,0.07,308.00,622.00
Cuba ,LATIN AMER. & CARIB    ,"11,382,820","110,860",102.70,3.37,-1.58,6.33,"2,900",97.00,74.70,33.05,7.60,59.35,2.00,11.89,7.22,55.00,261.00,684.00
Cyprus ,NEAR EAST                          ,"784,301","9,250",84.80,7.01,0.43,7.18,"19,200",97.60,,7.79,4.44,87.77,3.00,12.56,7.68,37.00,198.00,765.00
Czech Republic ,EASTERN EUROPE                     ,"10,235,455","78,866",129.80,0.00,0.97,3.93,"15,700",99.90,314.30,39.80,3.05,57.15,3.00,9.02,10.59,34.00,393.00,573.00
Denmark ,WESTERN EUROPE                     ,"5,450,661","43,094",126.50,16.97,2.48,4.56,"31,100",100.00,614.60,54.02,0.19,45.79,3.00,11.13,10.36,18.00,246.00,735.00
Djibouti ,SUB-SAHARAN AFRICA                 ,"486,530","23,000",21.20,1.37,0.00,104.13,"1,300",67.90,22.80,0.04,0.00,99.96,1.00,39.53,19.31,179.00,225.00,596.00
Dominica ,LATIN AMER. & CARIB    ,"68,910",754,91.40,19.63,-13.87,14.15,"5,400",94.00,304.80,6.67,20.00,73.33,2.00,15.27,6.73,177.00,328.00,495.00
Dominican Republic ,LATIN AMER. & CARIB    ,"9,183,984","48,730",188.50,2.64,-3.22,32.38,"6,000",84.70,97.40,22.65,10.33,67.02,2.00,23.22,5.73,112.00,306.00,582.00
East Timor ,ASIA (EX. NEAR EAST)         ,"1,062,777","15,007",70.80,4.70,0.00,47.41,500,58.60,,4.71,0.67,94.62,2.00,26.99,6.24,85.00,231.00,684.00
Ecuador ,LATIN AMER. & CARIB    ,"13,547,510","283,560",47.80,0.79,-8.58,23.66,"3,300",92.50,125.60,5.85,4.93,89.22,2.00,22.29,4.23,0.07,312.00,618.00
Egypt ,NORTHERN AFRICA                    ,"78,887,007","1,001,450",78.80,0.24,-0.22,32.59,"4,000",57.70,131.80,2.87,0.48,96.65,1.00,22.94,5.23,149.00,357.00,493.00
El Salvador ,LATIN AMER. & CARIB    ,"6,822,378","21,040",324.30,1.46,-3.74,25.10,"4,800",80.20,142.40,31.85,12.07,56.08,2.00,26.61,5.78,99.00,302.00,599.00
Equatorial Guinea ,SUB-SAHARAN AFRICA                 ,"540,109","28,051",19.30,1.06,0.00,85.13,"2,700",85.70,18.50,4.63,3.57,91.80,2.00,35.59,15.06,0.03,906.00,62.00
Eritrea ,SUB-SAHARAN AFRICA                 ,"4,786,994","121,320",39.50,1.84,0.00,74.87,700,58.60,7.90,4.95,0.03,95.02,1.50,34.33,9.60,102.00,254.00,643.00
Estonia ,BALTICS                            ,"1,324,333","45,226",29.30,8.39,-3.16,7.87,"12,300",99.80,333.80,16.04,0.45,83.51,3.00,10.04,13.25,0.04,294.00,666.00
Ethiopia ,SUB-SAHARAN AFRICA                 ,"74,777,981","1,127,127",66.30,0.00,0.00,95.32,700,42.70,8.20,10.71,0.75,88.54,2.00,37.98,14.86,475.00,99.00,426.00
Faroe Islands ,WESTERN EUROPE                     ,"47,246","1,399",33.80,79.84,1.41,6.24,"22,000",,503.80,2.14,0.00,97.86,,14.05,8.70,0.27,0.11,0.62
Fiji ,OCEANIA                            ,"905,949","18,270",49.60,6.18,-3.14,12.62,"5,800",93.70,112.60,10.95,4.65,84.40,2.00,22.55,5.65,89.00,135.00,776.00
Finland ,WESTERN EUROPE                     ,"5,231,372","338,145",15.50,0.37,0.95,3.57,"27,400",100.00,405.30,7.19,0.03,92.78,3.00,10.45,9.86,28.00,295.00,676.00
France ,WESTERN EUROPE                     ,"60,876,136","547,030",111.30,0.63,0.66,4.26,"27,600",99.00,586.40,33.53,2.07,64.40,4.00,11.99,9.14,22.00,214.00,764.00
French Guiana ,LATIN AMER. & CARIB    ,"199,509","91,000",2.20,0.42,6.27,12.07,"8,300",83.00,255.60,0.14,0.05,99.81,2.00,20.46,4.88,66.00,156.00,778.00
French Polynesia ,OCEANIA                            ,"274,578","4,167",65.90,60.60,2.94,8.44,"17,500",98.00,194.50,0.82,5.46,93.72,2.00,16.68,4.69,31.00,0.19,769.00
Gabon ,SUB-SAHARAN AFRICA                 ,"1,424,906","267,667",5.30,0.33,0.00,53.64,"5,500",63.20,27.40,1.26,0.66,98.08,2.00,36.16,12.25,61.00,592.00,348.00
"Gambia, The ",SUB-SAHARAN AFRICA                 ,"1,641,564","11,300",145.30,0.71,1.57,72.02,"1,700",40.10,26.80,25.00,0.50,74.50,2.00,39.37,12.25,308.00,142.00,549.00
Gaza Strip ,NEAR EAST                          ,"1,428,757",360,"3,968.80",11.11,1.60,22.93,600,,244.30,28.95,21.05,50.00,3.00,39.45,3.80,0.03,283.00,687.00
Georgia ,C.W. OF IND. STATES ,"4,661,473","69,700",66.90,0.44,-4.70,18.59,"2,500",99.00,146.60,11.44,3.86,84.70,3.00,10.41,9.23,172.00,275.00,553.00
Germany ,WESTERN EUROPE                     ,"82,422,299","357,021",230.90,0.67,2.18,4.16,"27,600",99.00,667.90,33.85,0.59,65.56,3.00,8.25,10.62,9.00,296.00,695.00
Ghana ,SUB-SAHARAN AFRICA                 ,"22,409,572","239,460",93.60,0.23,-0.64,51.43,"2,200",74.80,14.40,16.26,9.67,74.07,2.00,30.52,9.72,366.00,246.00,387.00
Gibraltar ,WESTERN EUROPE                     ,"27,928",7,"3,989.70",171.43,0.00,5.13,"17,500",,877.70,0.00,0.00,100.00,,10.74,9.31,,,
Greece ,WESTERN EUROPE                     ,"10,688,058","131,940",81.00,10.37,2.35,5.53,"20,000",97.50,589.70,21.10,8.78,70.12,3.00,9.68,10.24,54.00,213.00,733.00
Greenland ,NORTHERN AMERICA                   ,"56,361","2,166,086",0.00,2.04,-8.37,15.82,"20,000",,448.90,0.00,0.00,100.00,1.00,15.93,7.84,,,
Grenada ,LATIN AMER. & CARIB    ,"89,703",344,260.80,35.17,-13.92,14.62,"5,000",98.00,364.50,5.88,29.41,64.71,2.00,22.08,6.88,54.00,0.18,766.00
Guadeloupe ,LATIN AMER. & CARIB    ,"452,776","1,780",254.40,17.19,-0.15,8.60,"8,000",90.00,463.80,11.24,3.55,85.21,2.00,15.05,6.09,0.15,0.17,0.68
Guam ,OCEANIA                            ,"171,019",541,316.10,23.20,0.00,6.94,"21,000",99.00,492.00,9.09,16.36,74.55,2.00,18.79,4.48,,,
Guatemala ,LATIN AMER. & CARIB    ,"12,293,545","108,890",112.90,0.37,-1.67,35.93,"4,100",70.60,92.10,12.54,5.03,82.43,2.00,29.88,5.20,227.00,188.00,585.00
Guernsey ,WESTERN EUROPE                     ,"65,409",78,838.60,64.10,3.84,4.71,"20,000",,842.40,,,,3.00,8.81,10.01,0.03,0.10,0.87
Guinea ,SUB-SAHARAN AFRICA                 ,"9,690,222","245,857",39.40,0.13,-3.06,90.37,"2,100",35.90,2.70,3.63,2.58,93.79,2.00,41.76,15.48,237.00,362.00,401.00
Guinea-Bissau ,SUB-SAHARAN AFRICA                 ,"1,442,029","36,120",39.90,0.97,-1.57,107.17,800,42.40,7.40,10.67,8.82,80.51,2.00,37.22,16.53,0.62,0.12,0.26
